site,window_start,Ion,Concentration
BQ1,1990-03-06,nh4_ugl,NA
BQ1,1990-03-06,k_mgl,1.4038461538461537
BQ1,1990-03-06,mg_mgl,2.5215384615384617
BQ1,1990-03-06,ca_mgl,4.291538461538462
BQ1,1990-05-08,no3_ugl,208.1
BQ1,1990-05-08,nh4_ugl,NA
BQ1,1990-05-08,k_mgl,1.238
BQ1,1990-05-08,mg_mgl,3.11
BQ1,1990-05-08,ca_mgl,5.267
BQ1,1990-07-10,no3_ugl,117.44444444444443
BQ1,1990-07-10,nh4_ugl,NA
BQ1,1990-07-10,k_mgl,1.0133333333333334
BQ1,1990-07-10,mg_mgl,3.2533333333333334
BQ1,1990-07-10,ca_mgl,5.6433333333333335
BQ1,1990-09-11,no3_ugl,97.83333333333334
BQ1,1990-09-11,nh4_ugl,NA
BQ1,1990-09-11,k_mgl,0.9322222222222222
BQ1,1990-09-11,mg_mgl,2.997777777777778
BQ1,1990-09-11,ca_mgl,5.207777777777778
BQ1,1990-11-13,no3_ugl,132.0909090909091
BQ1,1990-11-13,nh4_ugl,NA
BQ1,1990-11-13,k_mgl,1.0736363636363637
BQ1,1990-11-13,mg_mgl,2.7827272727272727
BQ1,1990-11-13,ca_mgl,4.642727272727273
BQ1,1991-01-15,no3_ugl,87.85714285714286
BQ1,1991-01-15,nh4_ugl,NA
BQ1,1991-01-15,k_mgl,0.8144444444444444
BQ1,1991-01-15,mg_mgl,3.223333333333333
BQ1,1991-01-15,ca_mgl,5.7844444444444445
BQ1,1991-03-19,no3_ugl,59.777777777777786
BQ1,1991-03-19,nh4_ugl,NA
BQ1,1991-03-19,k_mgl,0.8333333333333334
BQ1,1991-03-19,mg_mgl,2.9811111111111113
BQ1,1991-03-19,ca_mgl,5.421111111111111
BQ1,1991-05-21,no3_ugl,54.75
BQ1,1991-05-21,nh4_ugl,NA
BQ1,1991-05-21,k_mgl,0.914
BQ1,1991-05-21,mg_mgl,3.0629999999999997
BQ1,1991-05-21,ca_mgl,5.314
BQ1,1991-07-23,no3_ugl,40.77777777777778
BQ1,1991-07-23,nh4_ugl,NA
BQ1,1991-07-23,k_mgl,1.012
BQ1,1991-07-23,mg_mgl,3.801
BQ1,1991-07-23,ca_mgl,6.164
BQ1,1991-09-24,no3_ugl,80.5
BQ1,1991-09-24,nh4_ugl,NA
BQ1,1991-09-24,k_mgl,1.1225
BQ1,1991-09-24,mg_mgl,2.8266666666666667
BQ1,1991-09-24,ca_mgl,4.400833333333333
BQ1,1991-11-26,no3_ugl,188.375
BQ1,1991-11-26,nh4_ugl,NA
BQ1,1991-11-26,k_mgl,1.1477777777777778
BQ1,1991-11-26,mg_mgl,3.0455555555555556
BQ1,1991-11-26,ca_mgl,5.041111111111111
BQ1,1992-01-28,no3_ugl,151
BQ1,1992-01-28,nh4_ugl,NA
BQ1,1992-01-28,k_mgl,1.1520000000000001
BQ1,1992-01-28,mg_mgl,3.128
BQ1,1992-01-28,ca_mgl,5.376
BQ1,1992-03-31,no3_ugl,63.125
BQ1,1992-03-31,nh4_ugl,NA
BQ1,1992-03-31,k_mgl,1.051111111111111
BQ1,1992-03-31,mg_mgl,3.3244444444444445
BQ1,1992-03-31,ca_mgl,5.618888888888889
BQ1,1992-06-02,no3_ugl,58.25
BQ1,1992-06-02,nh4_ugl,NA
BQ1,1992-06-02,k_mgl,1.1566666666666667
BQ1,1992-06-02,mg_mgl,2.8633333333333333
BQ1,1992-06-02,ca_mgl,4.7877777777777775
BQ1,1992-08-04,no3_ugl,102.66666666666666
BQ1,1992-08-04,nh4_ugl,NA
BQ1,1992-08-04,k_mgl,1.1144444444444446
BQ1,1992-08-04,mg_mgl,3.236666666666667
BQ1,1992-08-04,ca_mgl,5.694444444444445
BQ1,1992-10-06,no3_ugl,76.28571428571429
BQ1,1992-10-06,nh4_ugl,NA
BQ1,1992-10-06,k_mgl,0.9877777777777778
BQ1,1992-10-06,mg_mgl,3.002222222222222
BQ1,1992-10-06,ca_mgl,5.384444444444444
BQ1,1992-12-08,no3_ugl,20.5
