site,window_start,Ion,Concentration
BQ3,1988-04-12,no3_ugl,198.6
BQ3,1988-04-12,nh4_ugl,46.2
BQ3,1988-04-12,k_mgl,0.658
BQ3,1988-04-12,mg_mgl,2.3890000000000002
BQ3,1988-04-12,ca_mgl,2.8810000000000002
BQ3,1988-06-14,no3_ugl,NA
BQ3,1988-06-14,nh4_ugl,28
BQ3,1988-06-14,k_mgl,0.677
BQ3,1988-06-14,mg_mgl,2.584
BQ3,1988-06-14,ca_mgl,2.896
BQ3,1988-08-16,no3_ugl,140.85714285714286
BQ3,1988-08-16,nh4_ugl,42.2
BQ3,1988-08-16,k_mgl,0.5984615384615385
BQ3,1988-08-16,mg_mgl,2.1923076923076925
BQ3,1988-08-16,ca_mgl,2.786153846153846
BQ3,1988-10-18,no3_ugl,184
BQ3,1988-10-18,nh4_ugl,57
BQ3,1988-10-18,k_mgl,0.7075
BQ3,1988-10-18,mg_mgl,2.6574999999999998
BQ3,1988-10-18,ca_mgl,3.7885714285714287
BQ3,1988-12-20,no3_ugl,188.88888888888889
BQ3,1988-12-20,nh4_ugl,NA
BQ3,1988-12-20,k_mgl,0.7922222222222223
BQ3,1988-12-20,mg_mgl,2.761111111111111
BQ3,1988-12-20,ca_mgl,3.87
BQ3,1989-02-21,no3_ugl,158.22222222222223
BQ3,1989-02-21,nh4_ugl,NA
BQ3,1989-02-21,k_mgl,0.6988888888888889
BQ3,1989-02-21,mg_mgl,2.716666666666667
BQ3,1989-02-21,ca_mgl,3.668888888888889
BQ3,1989-04-25,no3_ugl,145.22222222222223
BQ3,1989-04-25,nh4_ugl,NA
BQ3,1989-04-25,k_mgl,0.7544444444444445
BQ3,1989-04-25,mg_mgl,2.9
BQ3,1989-04-25,ca_mgl,4.1755555555555555
BQ3,1989-06-27,no3_ugl,111.22222222222223
BQ3,1989-06-27,nh4_ugl,NA
BQ3,1989-06-27,k_mgl,0.8044444444444444
BQ3,1989-06-27,mg_mgl,2.626666666666667
BQ3,1989-06-27,ca_mgl,3.4266666666666667
BQ3,1989-08-29,no3_ugl,176.5
BQ3,1989-08-29,nh4_ugl,NA
BQ3,1989-08-29,k_mgl,1.031
BQ3,1989-08-29,mg_mgl,2.676
BQ3,1989-08-29,ca_mgl,3.638
BQ3,1989-10-31,no3_ugl,424.5
BQ3,1989-10-31,nh4_ugl,NA
BQ3,1989-10-31,k_mgl,1.489
BQ3,1989-10-31,mg_mgl,3.586
BQ3,1989-10-31,ca_mgl,4.354
BQ3,1990-01-02,no3_ugl,262.375
BQ3,1990-01-02,nh4_ugl,NA
BQ3,1990-01-02,k_mgl,1.4577777777777778
BQ3,1990-01-02,mg_mgl,3.61
BQ3,1990-01-02,ca_mgl,5.15
BQ3,1990-03-06,no3_ugl,380.25
BQ3,1990-03-06,nh4_ugl,NA
BQ3,1990-03-06,k_mgl,1.406153846153846
BQ3,1990-03-06,mg_mgl,2.644615384615385
BQ3,1990-03-06,ca_mgl,3.683076923076923
BQ3,1990-05-08,no3_ugl,308
BQ3,1990-05-08,nh4_ugl,NA
BQ3,1990-05-08,k_mgl,1.304
BQ3,1990-05-08,mg_mgl,3.278
BQ3,1990-05-08,ca_mgl,4.443
BQ3,1990-07-10,no3_ugl,187.375
BQ3,1990-07-10,nh4_ugl,NA
BQ3,1990-07-10,k_mgl,1.0666666666666667
BQ3,1990-07-10,mg_mgl,3.4144444444444444
BQ3,1990-07-10,ca_mgl,5.423333333333333
BQ3,1990-09-11,no3_ugl,114.55555555555556
BQ3,1990-09-11,nh4_ugl,NA
BQ3,1990-09-11,k_mgl,0.9577777777777777
BQ3,1990-09-11,mg_mgl,3.2544444444444447
BQ3,1990-09-11,ca_mgl,5.295555555555556
BQ3,1990-11-13,no3_ugl,197.5
BQ3,1990-11-13,nh4_ugl,NA
BQ3,1990-11-13,k_mgl,0.9927272727272728
BQ3,1990-11-13,mg_mgl,2.8363636363636364
BQ3,1990-11-13,ca_mgl,4.458181818181818
BQ3,1991-01-15,no3_ugl,154.28571428571428
BQ3,1991-01-15,nh4_ugl,NA
BQ3,1991-01-15,k_mgl,0.7888888888888889
BQ3,1991-01-15,mg_mgl,3.8155555555555556
BQ3,1991-01-15,ca_mgl,4.995555555555556
BQ3,1991-03-19,no3_ugl,82.125
BQ3,1991-03-19,nh4_ugl,NA
BQ3,1991-03-19,k_mgl,0.8233333333333334
BQ3,1991-03-19,mg_mgl,3.187777777777778
BQ3,1991-03-19,ca_mgl,4.322222222222222
BQ3,1991-05-21,no3_ugl,87.25
BQ3,1991-05-21,nh4_ugl,NA
BQ3,1991-05-21,k_mgl,0.929
BQ3,1991-05-21,mg_mgl,3.391
BQ3,1991-05-21,ca_mgl,4.38
BQ3,1991-07-23,no3_ugl,107.1
BQ3,1991-07-23,nh4_ugl,NA
BQ3,1991-07-23,k_mgl,0.98
BQ3,1991-07-23,mg_mgl,3.269
BQ3,1991-07-23,ca_mgl,4.54
BQ3,1991-09-24,no3_ugl,147.91666666666666
BQ3,1991-09-24,nh4_ugl,NA
BQ3,1991-09-24,k_mgl,0.8916666666666667
BQ3,1991-09-24,mg_mgl,3.0091666666666668
BQ3,1991-09-24,ca_mgl,4.235833333333333
BQ3,1991-11-26,no3_ugl,216.77777777777777
BQ3,1991-11-26,nh4_ugl,NA
BQ3,1991-11-26,k_mgl,0.9144444444444445
BQ3,1991-11-26,mg_mgl,3.0955555555555554
BQ3,1991-11-26,ca_mgl,4.552222222222222
BQ3,1992-01-28,no3_ugl,167.11111111111111
BQ3,1992-01-28,nh4_ugl,NA
BQ3,1992-01-28,k_mgl,1.159
BQ3,1992-01-28,mg_mgl,3.3930000000000002
BQ3,1992-01-28,ca_mgl,5.371
BQ3,1992-03-31,no3_ugl,80
BQ3,1992-03-31,nh4_ugl,NA
BQ3,1992-03-31,k_mgl,0.9644444444444444
BQ3,1992-03-31,mg_mgl,3.088888888888889
BQ3,1992-03-31,ca_mgl,5.408888888888889
BQ3,1992-06-02,no3_ugl,74.11111111111111
BQ3,1992-06-02,nh4_ugl,NA
BQ3,1992-06-02,k_mgl,0.9077777777777778
BQ3,1992-06-02,mg_mgl,2.8355555555555556
BQ3,1992-06-02,ca_mgl,4.177777777777778
BQ3,1992-08-04,no3_ugl,49.66666666666667
BQ3,1992-08-04,nh4_ugl,NA
BQ3,1992-08-04,k_mgl,1.1233333333333333
BQ3,1992-08-04,mg_mgl,2.918888888888889
BQ3,1992-08-04,ca_mgl,4.372222222222223
BQ3,1992-10-06,no3_ugl,51.111111111111114
BQ3,1992-10-06,nh4_ugl,NA
BQ3,1992-10-06,k_mgl,0.9655555555555556
BQ3,1992-10-06,mg_mgl,3.2311111111111113
BQ3,1992-10-06,ca_mgl,4.5488888888888885
BQ3,1992-12-08,no3_ugl,22
BQ3,1992-12-08,nh4_ugl,NA
BQ3,1992-12-08,k_mgl,0.9722222222222222
BQ3,1992-12-08,mg_mgl,3.358888888888889
BQ3,1992-12-08,ca_mgl,4.488888888888889
BQ3,1993-02-09,no3_ugl,129.5
BQ3,1993-02-09,nh4_ugl,NA
BQ3,1993-02-09,k_mgl,0.8233333333333334
BQ3,1993-02-09,mg_mgl,3.256666666666667
BQ3,1993-02-09,ca_mgl,4.522222222222222
BQ3,1993-04-13,no3_ugl,119.75
BQ3,1993-04-13,nh4_ugl,NA
BQ3,1993-04-13,k_mgl,0.8624999999999999
BQ3,1993-04-13,mg_mgl,3.265
BQ3,1993-04-13,ca_mgl,3.9675
BQ3,1993-06-15,no3_ugl,65.4
BQ3,1993-06-15,nh4_ugl,NA
BQ3,1993-06-15,k_mgl,0.8088888888888889
BQ3,1993-06-15,mg_mgl,2.891111111111111
BQ3,1993-06-15,ca_mgl,4.6066666666666665
BQ3,1993-08-17,no3_ugl,94.75
BQ3,1993-08-17,nh4_ugl,NA
BQ3,1993-08-17,k_mgl,0.8633333333333334
BQ3,1993-08-17,mg_mgl,3.39625
BQ3,1993-08-17,ca_mgl,4.736666666666666
BQ3,1993-10-19,no3_ugl,22.25
BQ3,1993-10-19,nh4_ugl,NA
BQ3,1993-10-19,k_mgl,0.8366666666666667
BQ3,1993-10-19,mg_mgl,3.013333333333333
BQ3,1993-10-19,ca_mgl,4.5344444444444445
BQ3,1993-12-21,no3_ugl,16
BQ3,1993-12-21,nh4_ugl,NA
BQ3,1993-12-21,k_mgl,0.8077777777777778
BQ3,1993-12-21,mg_mgl,2.6155555555555554
BQ3,1993-12-21,ca_mgl,4.054444444444444
BQ3,1994-02-22,no3_ugl,55.66666666666667
BQ3,1994-02-22,nh4_ugl,NA
BQ3,1994-02-22,k_mgl,0.9011111111111111
BQ3,1994-02-22,mg_mgl,3.312222222222222
BQ3,1994-02-22,ca_mgl,4.912222222222222
BQ3,1994-04-26,no3_ugl,17.11111111111111
BQ3,1994-04-26,nh4_ugl,NA
BQ3,1994-04-26,k_mgl,0.8555555555555555
BQ3,1994-04-26,mg_mgl,3.5833333333333335
BQ3,1994-04-26,ca_mgl,5.291111111111111
BQ3,1994-06-28,no3_ugl,97.75
BQ3,1994-06-28,nh4_ugl,NA
BQ3,1994-06-28,k_mgl,0.888
BQ3,1994-06-28,mg_mgl,3.54
BQ3,1994-06-28,ca_mgl,5
BQ3,1994-08-30,no3_ugl,NA
BQ3,1994-08-30,nh4_ugl,NA
BQ3,1994-08-30,k_mgl,0.8577777777777778
BQ3,1994-08-30,mg_mgl,3.3277777777777775
BQ3,1994-08-30,ca_mgl,4.845555555555555
BQ3,1994-11-01,no3_ugl,NA
BQ3,1994-11-01,nh4_ugl,NA
BQ3,1994-11-01,k_mgl,0.8477777777777777
BQ3,1994-11-01,mg_mgl,3.082222222222222
BQ3,1994-11-01,ca_mgl,4.412222222222222
PRM,1986-05-20,no3_ugl,NA
PRM,1986-05-20,nh4_ugl,NA
PRM,1986-05-20,k_mgl,NA
PRM,1986-05-20,mg_mgl,NA
PRM,1986-05-20,ca_mgl,NA
PRM,1986-07-22,no3_ugl,NA
PRM,1986-07-22,nh4_ugl,NA
PRM,1986-07-22,k_mgl,NA
PRM,1986-07-22,mg_mgl,NA
PRM,1986-07-22,ca_mgl,NA
PRM,1986-09-23,no3_ugl,NA
PRM,1986-09-23,nh4_ugl,NA
PRM,1986-09-23,k_mgl,NA
PRM,1986-09-23,mg_mgl,NA
PRM,1986-09-23,ca_mgl,NA
PRM,1986-11-25,no3_ugl,NA
PRM,1986-11-25,nh4_ugl,NA
PRM,1986-11-25,k_mgl,NA
PRM,1986-11-25,mg_mgl,NA
PRM,1986-11-25,ca_mgl,NA
PRM,1987-01-27,no3_ugl,NA
PRM,1987-01-27,nh4_ugl,NA
PRM,1987-01-27,k_mgl,NA
PRM,1987-01-27,mg_mgl,NA
PRM,1987-01-27,ca_mgl,NA
PRM,1987-03-31,no3_ugl,NA
PRM,1987-03-31,nh4_ugl,NA
PRM,1987-03-31,k_mgl,NA
PRM,1987-03-31,mg_mgl,NA
PRM,1987-03-31,ca_mgl,NA
PRM,1987-06-02,no3_ugl,NA
PRM,1987-06-02,nh4_ugl,NA
PRM,1987-06-02,k_mgl,NA
PRM,1987-06-02,mg_mgl,NA
PRM,1987-06-02,ca_mgl,NA
PRM,1987-08-04,no3_ugl,NA
PRM,1987-08-04,nh4_ugl,NA
PRM,1987-08-04,k_mgl,NA
PRM,1987-08-04,mg_mgl,NA
PRM,1987-08-04,ca_mgl,NA
PRM,1987-10-06,no3_ugl,NA
PRM,1987-10-06,nh4_ugl,NA
PRM,1987-10-06,k_mgl,NA
PRM,1987-10-06,mg_mgl,NA
PRM,1987-10-06,ca_mgl,NA
PRM,1987-12-08,no3_ugl,NA
PRM,1987-12-08,nh4_ugl,NA
PRM,1987-12-08,k_mgl,NA
PRM,1987-12-08,mg_mgl,NA
PRM,1987-12-08,ca_mgl,NA
PRM,1988-02-09,no3_ugl,NA
PRM,1988-02-09,nh4_ugl,NA
PRM,1988-02-09,k_mgl,NA
PRM,1988-02-09,mg_mgl,NA
PRM,1988-02-09,ca_mgl,NA
PRM,1988-04-12,no3_ugl,NA
PRM,1988-04-12,nh4_ugl,NA
PRM,1988-04-12,k_mgl,NA
PRM,1988-04-12,mg_mgl,NA
PRM,1988-04-12,ca_mgl,NA
PRM,1988-06-14,no3_ugl,NA
PRM,1988-06-14,nh4_ugl,NA
PRM,1988-06-14,k_mgl,NA
PRM,1988-06-14,mg_mgl,NA
PRM,1988-06-14,ca_mgl,NA
PRM,1988-08-16,no3_ugl,NA
PRM,1988-08-16,nh4_ugl,NA
PRM,1988-08-16,k_mgl,NA
PRM,1988-08-16,mg_mgl,NA
PRM,1988-08-16,ca_mgl,NA
PRM,1988-10-18,no3_ugl,NA
PRM,1988-10-18,nh4_ugl,NA
PRM,1988-10-18,k_mgl,NA
PRM,1988-10-18,mg_mgl,NA
PRM,1988-10-18,ca_mgl,NA
PRM,1988-12-20,no3_ugl,NA
PRM,1988-12-20,nh4_ugl,NA
PRM,1988-12-20,k_mgl,NA
PRM,1988-12-20,mg_mgl,NA
PRM,1988-12-20,ca_mgl,NA
PRM,1989-02-21,no3_ugl,NA
PRM,1989-02-21,nh4_ugl,NA
PRM,1989-02-21,k_mgl,NA
PRM,1989-02-21,mg_mgl,NA
PRM,1989-02-21,ca_mgl,NA
PRM,1989-04-25,no3_ugl,73.83333333333333
PRM,1989-04-25,nh4_ugl,NA
PRM,1989-04-25,k_mgl,0.6816666666666666
PRM,1989-04-25,mg_mgl,1.9433333333333334
PRM,1989-04-25,ca_mgl,6.568333333333333
PRM,1989-06-27,no3_ugl,67.42857142857143
PRM,1989-06-27,nh4_ugl,NA
PRM,1989-06-27,k_mgl,0.69375
PRM,1989-06-27,mg_mgl,1.75375
PRM,1989-06-27,ca_mgl,6.6
PRM,1989-08-29,no3_ugl,95.2
PRM,1989-08-29,nh4_ugl,NA
PRM,1989-08-29,k_mgl,0.87
PRM,1989-08-29,mg_mgl,2.17
PRM,1989-08-29,ca_mgl,6.04
PRM,1989-10-31,no3_ugl,221.14285714285717
PRM,1989-10-31,nh4_ugl,NA
PRM,1989-10-31,k_mgl,0.8814285714285715
PRM,1989-10-31,mg_mgl,2.5083333333333333
PRM,1989-10-31,ca_mgl,8.496666666666666
PRM,1990-01-02,no3_ugl,172
PRM,1990-01-02,nh4_ugl,NA
PRM,1990-01-02,k_mgl,1.1322222222222222
PRM,1990-01-02,mg_mgl,2.22
PRM,1990-01-02,ca_mgl,9.39375
PRM,1990-03-06,no3_ugl,180.55555555555554
PRM,1990-03-06,nh4_ugl,NA
PRM,1990-03-06,k_mgl,1.0322222222222222
PRM,1990-03-06,mg_mgl,2.0611111111111113
PRM,1990-03-06,ca_mgl,8.338888888888889
PRM,1990-05-08,no3_ugl,175.11111111111111
PRM,1990-05-08,nh4_ugl,NA
PRM,1990-05-08,k_mgl,0.9777777777777777
PRM,1990-05-08,mg_mgl,2.0944444444444446
PRM,1990-05-08,ca_mgl,8.975555555555555
PRM,1990-07-10,no3_ugl,152.22222222222223
PRM,1990-07-10,nh4_ugl,NA
PRM,1990-07-10,k_mgl,0.8744444444444445
PRM,1990-07-10,mg_mgl,2.0677777777777777
PRM,1990-07-10,ca_mgl,9.076666666666666
PRM,1990-09-11,no3_ugl,107
PRM,1990-09-11,nh4_ugl,NA
PRM,1990-09-11,k_mgl,0.8011111111111111
PRM,1990-09-11,mg_mgl,1.96
PRM,1990-09-11,ca_mgl,8.11
PRM,1990-11-13,no3_ugl,152.375
PRM,1990-11-13,nh4_ugl,NA
PRM,1990-11-13,k_mgl,0.7277777777777777
PRM,1990-11-13,mg_mgl,1.98
PRM,1990-11-13,ca_mgl,7.78
PRM,1991-01-15,no3_ugl,127.28571428571429
PRM,1991-01-15,nh4_ugl,NA
PRM,1991-01-15,k_mgl,0.8411111111111111
PRM,1991-01-15,mg_mgl,2.148888888888889
PRM,1991-01-15,ca_mgl,7.403333333333333
PRM,1991-03-19,no3_ugl,71.5
PRM,1991-03-19,nh4_ugl,NA
PRM,1991-03-19,k_mgl,0.735
PRM,1991-03-19,mg_mgl,1.4075
PRM,1991-03-19,ca_mgl,4.887142857142857
PRM,1991-05-21,no3_ugl,63
PRM,1991-05-21,nh4_ugl,NA
PRM,1991-05-21,k_mgl,0.8200000000000001
PRM,1991-05-21,mg_mgl,0.9271428571428572
PRM,1991-05-21,ca_mgl,5.034
PRM,1991-07-23,no3_ugl,52.142857142857146
PRM,1991-07-23,nh4_ugl,NA
PRM,1991-07-23,k_mgl,0.8222222222222223
PRM,1991-07-23,mg_mgl,2.681111111111111
PRM,1991-07-23,ca_mgl,8.598888888888888
PRM,1991-09-24,no3_ugl,124
PRM,1991-09-24,nh4_ugl,NA
PRM,1991-09-24,k_mgl,0.72
PRM,1991-09-24,mg_mgl,2.09875
PRM,1991-09-24,ca_mgl,7.154999999999999
PRM,1991-11-26,no3_ugl,119.44444444444444
PRM,1991-11-26,nh4_ugl,NA
PRM,1991-11-26,k_mgl,0.71
PRM,1991-11-26,mg_mgl,1.8522222222222222
PRM,1991-11-26,ca_mgl,7.178888888888889
PRM,1992-01-28,no3_ugl,123.875
PRM,1992-01-28,nh4_ugl,NA
PRM,1992-01-28,k_mgl,0.9711111111111111
PRM,1992-01-28,mg_mgl,2.178888888888889
PRM,1992-01-28,ca_mgl,10.386666666666667
PRM,1992-03-31,no3_ugl,63.875
PRM,1992-03-31,nh4_ugl,NA
PRM,1992-03-31,k_mgl,0.8444444444444444
PRM,1992-03-31,mg_mgl,2.7222222222222223
PRM,1992-03-31,ca_mgl,7.913749999999999
PRM,1992-06-02,no3_ugl,38.111111111111114
PRM,1992-06-02,nh4_ugl,NA
PRM,1992-06-02,k_mgl,0.7966666666666666
PRM,1992-06-02,mg_mgl,1.961111111111111
PRM,1992-06-02,ca_mgl,7.605555555555556
PRM,1992-08-04,no3_ugl,45.22222222222222
PRM,1992-08-04,nh4_ugl,NA
PRM,1992-08-04,k_mgl,0.8288888888888889
PRM,1992-08-04,mg_mgl,2.1733333333333333
PRM,1992-08-04,ca_mgl,8.617777777777778
PRM,1992-10-06,no3_ugl,49.625
PRM,1992-10-06,nh4_ugl,NA
PRM,1992-10-06,k_mgl,0.7622222222222222
PRM,1992-10-06,mg_mgl,2.013333333333333
PRM,1992-10-06,ca_mgl,8.262222222222222
PRM,1992-12-08,no3_ugl,16.5
PRM,1992-12-08,nh4_ugl,NA
PRM,1992-12-08,k_mgl,0.67125
PRM,1992-12-08,mg_mgl,1.89375
PRM,1992-12-08,ca_mgl,7.6274999999999995
PRM,1993-02-09,no3_ugl,91.66666666666667
PRM,1993-02-09,nh4_ugl,NA
PRM,1993-02-09,k_mgl,0.7611111111111111
PRM,1993-02-09,mg_mgl,2.1966666666666668
PRM,1993-02-09,ca_mgl,8.618888888888888
PRM,1993-04-13,no3_ugl,52.125
PRM,1993-04-13,nh4_ugl,NA
PRM,1993-04-13,k_mgl,0.84
PRM,1993-04-13,mg_mgl,2.013333333333333
PRM,1993-04-13,ca_mgl,7.963333333333333
PRM,1993-06-15,no3_ugl,57
PRM,1993-06-15,nh4_ugl,NA
PRM,1993-06-15,k_mgl,0.76625
PRM,1993-06-15,mg_mgl,2.05375
PRM,1993-06-15,ca_mgl,8.865
PRM,1993-08-17,no3_ugl,50.25
PRM,1993-08-17,nh4_ugl,NA
PRM,1993-08-17,k_mgl,0.8
PRM,1993-08-17,mg_mgl,2.068888888888889
PRM,1993-08-17,ca_mgl,8.374444444444444
PRM,1993-10-19,no3_ugl,35.75
PRM,1993-10-19,nh4_ugl,NA
PRM,1993-10-19,k_mgl,0.72
PRM,1993-10-19,mg_mgl,2.0077777777777777
PRM,1993-10-19,ca_mgl,7.707777777777777
PRM,1993-12-21,no3_ugl,13
PRM,1993-12-21,nh4_ugl,NA
PRM,1993-12-21,k_mgl,0.5
PRM,1993-12-21,mg_mgl,1.3522222222222222
PRM,1993-12-21,ca_mgl,6.5525
PRM,1994-02-22,no3_ugl,7
PRM,1994-02-22,nh4_ugl,NA
PRM,1994-02-22,k_mgl,0.7233333333333334
PRM,1994-02-22,mg_mgl,2.1
PRM,1994-02-22,ca_mgl,9.082222222222223
PRM,1994-04-26,no3_ugl,19.11111111111111
PRM,1994-04-26,nh4_ugl,NA
PRM,1994-04-26,k_mgl,0.86
PRM,1994-04-26,mg_mgl,2.3177777777777777
PRM,1994-04-26,ca_mgl,9.436666666666667
PRM,1994-06-28,no3_ugl,72
PRM,1994-06-28,nh4_ugl,NA
PRM,1994-06-28,k_mgl,0.7944444444444444
PRM,1994-06-28,mg_mgl,2.3644444444444446
PRM,1994-06-28,ca_mgl,8.825555555555555
PRM,1994-08-30,no3_ugl,NA
PRM,1994-08-30,nh4_ugl,NA
PRM,1994-08-30,k_mgl,0.8522222222222222
PRM,1994-08-30,mg_mgl,2.1222222222222222
PRM,1994-08-30,ca_mgl,9.213333333333333
PRM,1994-11-01,no3_ugl,43
PRM,1994-11-01,nh4_ugl,NA
PRM,1994-11-01,k_mgl,0.7133333333333334
PRM,1994-11-01,mg_mgl,2.0877777777777777
PRM,1994-11-01,ca_mgl,7.992222222222222
